f1,f2,f3,f4,f5,f6,f7,f8,emb57,label
11,11,4.909090909090909,137,36,4.91970802919708,19,36,-0.0048400415,0
1,1,2.0,1,0,2.0,1,5,-0.012339617,0
11,11,4.909090909090909,903,267,4.811738648947952,50,65,-0.0010377219,1
40,38,4.9,361,95,4.930747922437673,249,346,0.057016585,0
1,1,1.0,40,9,4.2,5,9,0.0008679474,1
31,29,4.806451612903226,1083,228,4.748845798707294,59,63,0.00016213012,0
1,1,5.0,4,5,4.75,0,1,-0.020345265,0
5,5,5.0,2688,1097,4.566592261904762,13,15,-0.02407108,0
1,1,1.0,28,0,4.535714285714286,3,140,0.0781575,1
291,266,4.986254295532646,37,18,4.72972972972973,372,461,-0.028027028,0
4,4,2.5,158,45,4.772151898734177,18,19,0.020867316,0
2,2,3.0,1,3,1.0,52,56,-0.058692914,0
10,10,3.0,402,65,4.629353233830845,49,74,-0.01495669,0
14,14,4.357142857142857,149,97,4.449664429530201,35,88,0.020277174,0
30,29,4.966666666666667,653,61,4.924961715160796,40,41,0.045758545,0
1,1,2.0,46,31,2.6956521739130435,1,2,-0.0528646,0
2,2,5.0,360,138,4.2444444444444445,21,26,-0.054062277,0
5,5,4.8,12,2,4.25,13,13,0.01835744,0
7,7,4.857142857142857,44,12,4.659090909090909,85,122,-0.0217131,0
1,1,4.0,20419,4690,4.678779568049365,12,17,0.012461107,0
33,29,4.909090909090909,328,47,4.368902439024391,44,52,0.051927198,0
1,1,1.0,95,22,4.073684210526316,98,262,-0.038443793,0
44,40,4.931818181818182,1547,210,4.888817065287654,406,723,0.015119935,0
51,50,4.490196078431373,43,25,4.767441860465116,85,128,0.06933955,0
1,1,5.0,38,1,5.0,3,4,0.07146904,1
1,1,5.0,149,41,4.550335570469799,2,3,0.029082293,0
30,29,4.8,435,61,4.567816091954023,129,254,-0.05506184,0
2,2,4.5,78,30,4.038461538461538,5,10,-0.0024963794,0
7,2,5.0,2,0,3.0,6,10,-0.04259665,1
38,33,4.2368421052631575,6,0,4.666666666666667,80,111,0.04214716,0
42,29,4.809523809523809,61,17,4.655737704918033,54,101,0.08311033,0
1,1,1.0,7,8,3.4285714285714284,1,4,-0.021665856,1
29,28,5.0,1610,257,4.927950310559006,61,96,0.044673398,0
21,21,5.0,3113,905,4.534532605203983,99,187,0.01087568,0
23,22,4.652173913043479,1485,99,4.842424242424243,98,145,0.016354347,0
24,24,4.5,102,17,4.764705882352941,33,40,0.038207535,0
2,2,5.0,27,3,4.111111111111111,20,25,0.017765427,0
24,23,4.333333333333333,2257,515,4.544528134692069,45,48,-0.021582898,0
2,2,5.0,1073,195,4.642124883504194,2,8,0.01637116,0
1,1,5.0,132,15,4.916666666666667,3,4,-0.022962818,0
3,3,2.6666666666666665,3701,691,4.753309916238854,35,35,-0.0329905,0
1,1,1.0,937,317,3.8975453575240127,13,24,-0.021989306,1
70,65,4.8,13,1,4.6923076923076925,202,250,0.043120533,0
5,5,4.2,4,0,4.0,62,102,0.011568753,1
1,1,5.0,13419,7747,4.75655737704918,3,61,0.007177453,1
7,7,3.2857142857142856,50,4,4.76,13,16,0.016836364,0
4,4,2.0,516,348,3.75968992248062,41,62,-0.057338163,1
5,5,4.4,16,0,4.25,29,30,0.011157981,0
9,9,4.888888888888889,158,28,4.810126582278481,33,43,-0.018843986,0
5,5,3.6,713,122,4.316970546984572,17,33,0.056689907,0
15,12,4.333333333333333,543,82,4.208103130755064,135,310,0.04751872,0
4,4,3.75,787,131,4.872935196950444,27,36,-0.03486455,0
1,1,2.0,22,8,4.454545454545454,7,27,0.032164555,0
11,10,4.909090909090909,685,87,4.767883211678832,20,23,0.073853225,0
18,17,4.666666666666667,91,64,4.593406593406593,20,30,-0.00855908,1
6,5,5.0,54,12,4.7407407407407405,22,37,-0.031113934,0
2,2,3.0,5,3,3.4,152,188,-0.035772897,1
40,34,4.8,48,0,4.020833333333333,80,100,0.025892893,0
81,77,4.864197530864198,6,0,5.0,70,636,0.010992613,0
19,18,4.421052631578948,359,45,4.866295264623956,62,138,-0.040699188,0
2,2,5.0,14,0,5.0,2,5,0.020344561,0
19,17,4.947368421052632,12,5,4.666666666666667,27,57,0.0888068,1
2,2,3.0,61,17,4.60655737704918,57,381,-0.060104225,1
5,5,5.0,196,27,4.816326530612245,34,49,-0.0026539664,0
35,26,5.0,6520,873,4.699693251533742,147,251,-0.04403498,1
40,37,5.0,1066,209,4.74671669793621,71,136,0.018431075,0
8,8,5.0,515,182,4.687378640776699,11,26,-0.057059593,1
2,2,5.0,9,3,4.666666666666667,40,51,-0.022445899,0
1,1,1.0,26,14,4.1923076923076925,16,23,-0.03207304,1
8,8,5.0,155,21,4.612903225806452,8,10,-0.026175965,1
2,2,5.0,1945,586,4.773264781491003,2,2,-0.007649193,0
85,81,4.952941176470588,17,5,4.529411764705882,147,206,-0.01246857,0
3,3,3.6666666666666665,68,21,2.823529411764706,7,33,-0.070408955,1
14,14,5.0,123,50,4.495934959349594,142,316,-0.058516175,1
44,43,4.931818181818182,8,2,4.375,47,54,0.059344582,1
5,5,4.8,68,15,4.941176470588236,28,30,0.002280555,0
7,7,4.428571428571429,6059,784,4.306651262584585,12,12,-0.051684905,0
18,18,4.777777777777778,11,0,4.727272727272728,21,30,0.041588496,0
12,12,5.0,140,17,4.521428571428571,21,30,0.0415961,0
4,1,1.75,1,0,4.0,142,399,-0.03270871,1
1,1,1.0,53,18,4.867924528301887,4,6,0.060106892,1
87,81,4.896551724137931,39,3,4.641025641025641,144,196,-0.005247779,0
33,33,4.575757575757576,20,13,4.1,133,721,0.010587189,0
9,7,3.888888888888889,10,5,4.8,17,20,-0.0313899,1
3,3,3.6666666666666665,305,103,4.672131147540983,30,33,0.042354345,1
14,12,5.0,1468,82,4.894414168937329,32,34,0.018136099,1
45,36,5.0,561,192,4.780748663101604,82,90,0.07289955,0
1,1,5.0,200,3,4.92,2,2,0.06043935,1
1,1,5.0,38,20,4.552631578947368,1,1,-0.011214945,0
1,1,1.0,50,0,3.82,8,29,-0.06383519,0
59,57,5.0,1,2,5.0,67,78,-0.090152994,0
4,1,5.0,51,9,4.725490196078432,13,47,-0.06225712,1
19,19,4.578947368421052,142,11,4.683098591549296,98,138,0.019500175,0
53,50,4.509433962264151,30,11,4.833333333333333,101,126,-0.033094626,0
12,12,4.666666666666667,189,114,4.550264550264551,36,41,0.06482736,0
117,104,4.923076923076923,331,45,4.634441087613293,113,130,-0.010501136,0
9,7,4.555555555555555,77,24,4.740259740259741,80,155,0.04528926,0
10,10,4.5,26,15,4.923076923076923,24,38,0.013570386,0
4,4,5.0,91,24,4.406593406593407,24,63,0.025661124,0
93,91,4.946236559139785,37,3,4.648648648648648,118,140,-0.030123426,0
11,11,3.272727272727273,3,0,2.6666666666666665,43,70,0.04106391,1
51,46,3.980392156862745,13,7,4.846153846153846,29,150,-0.031820882,1
5,5,4.8,6,1,4.833333333333333,11,11,-0.017722463,1
17,17,5.0,278,87,4.888489208633094,49,65,0.06801123,1
1,1,3.0,32,12,4.40625,0,2,-0.041941375,0
12,12,5.0,940,118,4.885106382978724,16,18,-0.012825066,0
5,5,5.0,969,97,4.624355005159959,15,22,0.026391169,0
46,40,5.0,3310,608,4.616918429003021,76,101,0.052708857,0
19,18,4.789473684210527,61,34,4.934426229508197,127,158,0.011384754,0
29,20,4.448275862068965,18,8,4.888888888888889,67,94,0.028681971,1
11,11,5.0,305,46,4.645901639344262,32,308,0.066643044,1
15,15,4.333333333333333,1275,845,4.516078431372549,64,143,-0.05822865,0
6,5,3.1666666666666665,65,61,4.138461538461539,54,79,-0.05708122,0
17,17,5.0,30,12,4.733333333333333,37,43,0.03499919,0
1,1,1.0,68,0,2.294117647058824,1,2,0.011274213,1
13,13,4.461538461538462,20,3,4.25,55,112,-0.050154086,0
1,1,1.0,16,6,2.4375,68,220,-0.026827633,0
20,18,4.85,237,13,4.767932489451477,44,47,0.02405202,0
14,13,2.7857142857142856,1,0,5.0,21,487,-0.066874795,1
19,18,5.0,25,2,4.28,42,98,-0.008439351,0
40,2,5.0,19,17,4.368421052631579,13,43,-0.03839346,0
15,15,4.733333333333333,99,70,4.727272727272728,101,160,-0.017864898,0
41,32,5.0,88,23,4.909090909090909,72,150,0.059669044,0
17,16,4.764705882352941,38,12,4.552631578947368,22,46,-0.024925286,0
23,20,4.260869565217392,2166,348,4.84118190212373,41,49,0.029250637,0
3,3,5.0,1,0,5.0,21,28,0.03345279,0
1,1,5.0,61,9,4.590163934426229,1,2,-0.05527199,0
6,6,5.0,211,24,4.649289099526066,18,24,0.00724782,0
1,1,1.0,196,24,4.331632653061225,2,9,0.022925777,0
10,10,3.3,472,109,4.561440677966102,34,41,0.05595042,0
46,41,4.673913043478261,421,59,4.603325415676959,157,265,-0.013926744,0
11,10,2.4545454545454546,304,67,4.878289473684211,38,62,-0.055321343,1
64,61,4.8125,295,90,4.511864406779661,93,171,0.044724032,0
26,24,4.769230769230769,2369,125,4.276065850569861,89,233,0.012232356,0
25,22,4.92,10789,1582,4.853739920289184,45,53,-0.002041415,1
2,2,5.0,435,129,4.459770114942529,12,17,0.028621953,0
1,1,1.0,79,13,3.5443037974683542,0,1,-0.017196309,0
1,1,1.0,546,67,4.62087912087912,2,5,-0.03578204,1
6,6,4.5,34,16,4.264705882352941,65,134,-0.029295057,0
3,3,5.0,357,59,4.787114845938375,4,5,0.043530054,0
53,52,4.6415094339622645,7,1,4.428571428571429,148,238,0.031236101,0
17,16,4.0588235294117645,199,10,4.874371859296482,57,115,0.04403076,0
1,1,5.0,282,17,4.726950354609929,0,4,0.0055456003,0
38,31,4.7105263157894735,2,1,5.0,68,187,-3.0804229e-06,1
17,13,4.470588235294118,16,6,4.625,270,728,-0.064082794,0
6,6,4.0,124,63,4.467741935483871,24,40,-0.04865841,0
1,1,2.0,12,8,4.583333333333333,1,3,-0.040016375,1
17,17,4.647058823529412,28133,4277,4.914619841467316,54,80,-0.020725321,0
1,1,5.0,10,0,4.4,15,29,-0.018481178,0
1,1,5.0,100,3,4.56,2,6,0.0046044122,0
58,56,4.086206896551724,2555,763,4.516242661448141,46,84,0.027656944,0
7,2,5.0,1,0,5.0,15,21,0.019184731,0
15,15,3.933333333333333,14,6,4.5,179,207,-0.001463445,0
1,1,5.0,80,11,4.4875,9,14,-0.0147282835,0
20,19,4.65,61,8,4.360655737704918,46,97,0.029981114,0
20,1,5.0,5,4,5.0,23,23,0.004815368,1
17,16,2.7058823529411766,23,3,4.304347826086956,110,234,-0.03896334,1
48,41,4.833333333333333,58,8,4.931034482758621,75,81,0.032323107,1
3,3,5.0,771,399,3.691309987029832,13,17,-0.0035314343,1
27,24,4.703703703703703,93,10,4.903225806451613,69,115,-0.0014436363,0
1,1,5.0,44,12,4.636363636363637,2,4,0.015132297,0
1,1,4.0,46,5,4.673913043478261,16,22,0.013445827,0
2,2,5.0,84,43,4.773809523809524,21,28,-0.021146035,0
3,3,5.0,293,74,4.713310580204778,5,14,-0.051267073,0
11,11,4.727272727272728,101,24,4.415841584158416,84,148,0.05711601,0
48,44,5.0,10,3,4.9,97,243,-0.044158988,0
3,3,5.0,744,220,4.693548387096774,110,147,0.015754852,0
5,5,4.4,11,5,4.545454545454546,17,20,0.014600049,0
3,3,4.0,15,1,4.866666666666666,3,5,-0.0076393844,0
50,48,4.96,57,8,4.807017543859649,55,76,0.007901937,0
1,1,1.0,12,2,4.333333333333333,10,15,-0.034067653,1
24,23,4.166666666666667,8,2,4.5,116,216,-0.011036278,1
1,1,5.0,53,29,4.943396226415095,2,4,0.008272686,1
85,76,5.0,152,17,4.5,97,125,0.061640006,0
39,33,3.076923076923077,123,28,3.991869918699187,280,791,0.027617423,0
2,2,3.5,57,11,4.526315789473684,2,3,-0.04473934,0
12,11,4.666666666666667,102,23,4.696078431372549,55,75,0.012301014,0
3,3,3.6666666666666665,1745,1132,4.523209169054441,5,8,-0.059211057,0
5,5,5.0,855,228,4.355555555555555,29,54,0.024732027,0
4,4,5.0,6486,600,4.702436016034536,6,32,-0.06996059,1
33,21,4.878787878787879,239,150,4.887029288702929,39,41,-0.005911442,0
12,12,4.916666666666667,141,32,4.865248226950355,22,31,-0.011917162,0
1,1,5.0,120,28,4.783333333333333,5,6,0.032366678,0
4,4,5.0,6,0,3.8333333333333335,37,59,0.11225184,1
29,29,4.827586206896552,207,88,4.869565217391305,62,82,0.0667666,0
18,18,4.722222222222222,183,52,4.901639344262295,26,40,-0.0031478142,0
79,73,4.886075949367089,272,40,4.6875,85,165,0.0058246497,0
19,19,4.789473684210527,62,1,4.790322580645161,125,212,0.0587991,0
1,1,1.0,8,3,4.25,0,1,0.02341359,0
1,1,1.0,141,63,3.879432624113475,0,1,0.048797328,0
2,2,5.0,454,153,4.731277533039648,11,13,-0.017479146,0
15,14,4.6,677,315,4.607090103397341,27,52,0.015726319,1
19,17,4.684210526315789,57,11,4.228070175438597,26,36,-0.005410053,0
2,2,5.0,12,8,4.833333333333333,2,4,0.06530028,0
13,13,4.846153846153846,1061,159,4.786050895381716,44,63,-0.011904881,0
2,2,5.0,632,30,4.9145569620253164,15,18,0.0052832724,0
294,4,5.0,4,1,5.0,323,368,0.02417654,1
1,1,5.0,12,3,4.333333333333333,3,4,0.08591387,0
2,2,3.0,876,151,4.6632420091324205,48,65,0.006187233,0
20,19,4.8,89,33,4.269662921348314,111,158,0.06837738,0
13,13,4.230769230769231,115,11,4.573913043478261,57,82,-0.010861282,0
10,10,4.2,12,7,2.833333333333333,57,96,-0.033955216,0
1,1,4.0,45,12,4.066666666666666,5,7,-0.0032538986,0
1,1,5.0,39,8,4.871794871794871,10,18,0.03458176,1
4,4,4.0,2149,585,4.667752442996743,57,79,-0.006114556,0
5,2,5.0,100,38,4.54,7,7,0.0076392596,1
2,2,5.0,2,0,5.0,52,92,-0.031247493,0
13,13,4.769230769230769,226,39,4.477876106194691,18,23,-0.0043472284,0
1,1,2.0,27,11,4.333333333333333,15,18,-0.022288317,0
2,2,2.5,21,2,4.571428571428571,44,120,-0.0068581942,0
10,10,5.0,190,60,4.7,18,20,-0.024491843,0
19,17,4.2105263157894735,249,39,4.542168674698795,16,28,0.009975305,0
4,4,5.0,332,47,3.9126506024096384,37,60,0.006779638,0
1,1,4.0,2,0,3.0,8,22,-0.007216531,1
10,9,5.0,4443,2263,4.801710555930677,17,18,0.052979242,0
2,2,5.0,144,43,4.541666666666667,1,2,0.035430424,0
17,16,4.529411764705882,874,162,4.675057208237987,74,94,0.027778313,0
6,6,3.0,22,10,1.5,161,273,-0.0424495,0
1,1,1.0,243,94,3.744855967078189,1,1,-0.005101704,0
2,2,5.0,220,46,4.418181818181818,6,9,0.058398236,0
2,2,1.0,50,17,4.44,23,30,-0.019672796,1
20,20,4.2,160,32,2.4625,102,109,0.058689103,0
16,16,4.625,1,4,4.0,24,30,-0.04180503,0
136,91,5.0,107,104,4.411214953271028,186,221,0.016212337,1
25,22,4.64,12,4,4.166666666666667,33,77,0.00035040255,0
162,126,4.537037037037037,22,14,4.454545454545454,232,340,-0.02826114,0
11,10,5.0,600,78,4.86,11,20,0.03337436,0
24,22,4.833333333333333,3,0,5.0,33,58,-0.013999427,0
1,1,1.0,4171,1190,4.697434667945337,2,2,0.06102456,0
40,39,4.2,677,68,4.6750369276218615,81,99,0.013063774,0
2,2,1.0,24,6,1.7916666666666667,1,3,0.02861983,1
88,57,5.0,12,1,4.416666666666667,148,196,0.017895019,1
10,9,3.4,21,4,4.761904761904762,134,186,-0.009397251,0
3,2,4.333333333333333,9,4,4.666666666666667,0,7,-0.010910987,0
5,5,2.6,387,109,4.829457364341085,13,30,0.037223827,1
11,4,1.0,50,8,3.66,5,87,-0.01237402,1
7,7,3.7142857142857135,1430,536,4.541958041958042,58,63,0.03146198,1
9,8,5.0,809,158,4.627935723114957,70,110,0.048271056,0
32,32,4.375,252,49,4.51984126984127,93,156,0.013439607,0
1,1,5.0,185,5,4.302702702702702,1,2,0.0072215497,0
4,4,4.0,534,120,4.887640449438202,17,25,0.03737636,0
1,1,4.0,107,48,4.831775700934579,12,15,0.032047782,0
11,11,4.636363636363637,267,100,3.99625468164794,21,24,-0.046934906,0
3,3,5.0,37,17,4.567567567567568,18,22,-0.012699495,0
1,1,5.0,55,21,4.890909090909091,1,2,-0.007914767,0
1,1,5.0,8,6,4.5,4,4,-0.00068984716,0
23,23,4.521739130434782,40,11,4.65,67,78,-0.024674825,0
1,1,5.0,11,17,4.545454545454546,2,3,0.031327397,0
28,28,4.821428571428571,13719,2538,4.358772505284642,36,42,0.0074241236,0
2,2,5.0,4,0,5.0,5,8,-0.01930069,0
24,21,4.75,228,75,3.9166666666666665,66,74,-0.060479797,0
2,2,5.0,643,428,4.362363919129082,4,18,0.07166269,1
13,10,4.615384615384615,359,42,4.933147632311978,60,113,-0.047365703,0
10,6,5.0,102,14,4.813725490196078,11,11,0.040340032,1
1,1,3.0,22,8,4.090909090909091,209,811,0.025560997,1
4,4,4.25,88,16,4.977272727272728,34,47,-0.0044494527,0
34,30,4.852941176470588,9,6,4.666666666666667,36,106,-0.012849667,0
2,2,2.0,7,8,3.571428571428572,42,125,-0.040637583,1
4,4,5.0,207,30,4.792270531400966,77,163,-0.021743864,0
5,5,2.8,18,3,4.388888888888889,25,28,0.023539009,0
8,8,5.0,264,38,4.162878787878788,42,118,-0.004510083,0
3,3,3.6666666666666665,723,169,4.467496542185339,10,11,-0.010376378,0
1,1,1.0,3408,941,4.549882629107981,2,3,-0.015729323,0
6,4,5.0,2431,408,4.951048951048951,25,59,-0.03272129,0
16,16,4.6875,2347,389,4.716659565402642,19,19,-0.010348872,0
31,30,4.516129032258065,482,45,4.533195020746888,46,57,0.03681157,1
1,1,3.0,7,0,3.2857142857142856,26,29,-0.0023762614,0
30,29,4.7,203,35,4.41871921182266,94,104,0.052171763,0
5,5,4.0,72,13,4.513888888888889,12,14,-0.006336102,0
3,3,4.666666666666667,13,4,3.3846153846153846,8,19,0.014424977,0
1,1,5.0,495,316,4.808080808080808,31,51,-0.025748173,0
1,1,1.0,230,67,4.495652173913044,76,127,0.00714228,0
12,12,5.0,89,34,4.51685393258427,10,19,-0.0027359098,0
94,88,4.98936170212766,221,15,4.882352941176471,118,139,-0.017929586,0
22,18,4.5,218,21,4.724770642201835,70,134,-0.009469658,0
59,53,4.9491525423728815,40,14,4.075,122,232,0.0057341116,0
6,5,4.833333333333333,253,34,4.849802371541502,11,11,-0.0015835719,0
638,550,4.7115987460815045,5,1,5.0,731,2137,0.014783914,1
25,24,4.68,339,38,4.710914454277286,17,22,-0.0016516532,0
1,1,3.0,219,99,4.776255707762557,2,5,-0.03219677,0
3,3,2.0,257,23,4.7587548638132295,9,16,-0.047808908,1
15,15,4.666666666666667,203,52,4.980295566502463,20,27,-0.020927187,0
4,4,4.0,273,36,3.5457875457875456,22,27,-0.040361185,0
36,34,4.916666666666667,34,11,4.735294117647059,127,1335,-0.008787208,0
19,15,5.0,1548,121,4.916020671834626,20,21,0.048304666,0
15,13,5.0,114,18,4.745614035087719,17,28,0.009016246,1
91,64,4.450549450549451,222,15,4.702702702702703,193,286,0.023823075,0
25,24,4.84,179,27,4.581005586592179,35,38,0.003371849,0
2,2,1.0,31,18,4.225806451612903,10,14,-0.016589127,1
1,1,1.0,104,27,3.673076923076923,43,54,0.011801098,0
7,7,4.857142857142857,87,9,4.540229885057471,39,46,0.008981935,0
1,1,5.0,129,0,4.8604651162790695,2,4,0.019011298,1
81,77,4.864197530864198,1,0,5.0,70,636,0.03974696,0
7,6,5.0,2527,994,4.87218045112782,15,16,-0.06760884,1
1,1,5.0,212,136,4.589622641509434,7,27,0.019827515,1
1,1,1.0,664,11,4.304216867469879,1,3,-0.017579876,1
6,6,4.166666666666667,768,195,4.865885416666667,55,118,0.037644725,0
7,2,5.0,1,0,5.0,33,177,-0.062408373,1
4,4,5.0,92,24,4.5978260869565215,5,12,0.005511546,0
60,58,4.5,60,15,4.566666666666666,134,159,0.04498031,0
10,10,3.8,10627,2037,4.853392302625388,33,42,0.0031582436,0
23,23,5.0,149,16,4.328859060402684,24,26,-0.03630721,1
5,1,5.0,25,6,4.92,36,97,-0.11779632,1
15,15,4.8,2380,254,4.710504201680672,79,132,-0.000999073,0
27,26,4.962962962962963,641,79,4.758190327613105,35,61,0.027195523,0
20,20,4.85,419,77,4.701670644391408,32,36,0.01912886,0
38,36,5.0,376,4,4.9813829787234045,61,71,0.067835025,0
8,8,4.875,454,75,4.343612334801762,24,26,-0.010657586,0
9,9,5.0,14086,3404,4.440295328695158,51,58,-0.020640677,0
1,1,1.0,39,8,4.615384615384615,1,2,-0.016421786,0
15,15,4.666666666666667,88,20,4.818181818181818,41,46,0.0062061404,0
70,68,4.828571428571428,686,95,4.6574344023323615,175,240,0.050887328,0
7,7,4.0,540,103,4.488888888888889,13,23,0.02780727,0
18,17,4.777777777777778,402,27,4.696517412935323,45,55,0.058740076,0
2,2,5.0,242,130,4.698347107438017,9,12,-0.022300335,1
21,20,4.380952380952381,1,0,5.0,131,245,-0.021295099,1
1,1,1.0,2789,340,4.794550017927572,0,2,-0.042202316,1
1,1,5.0,86,25,4.837209302325581,30,48,0.043514777,0
58,49,4.637931034482759,114,24,4.684210526315789,117,153,0.019388879,0
47,45,4.531914893617022,2041,344,4.81969622733954,73,132,-0.027581306,0
1,1,5.0,11,10,5.0,3,3,0.0073207426,0
20,17,4.55,112,14,4.241071428571429,36,50,-0.018925713,0
28,26,5.0,63,30,4.857142857142857,113,208,0.022021867,1
39,35,4.871794871794871,2,1,4.5,50,139,-0.013851849,1
1,1,1.0,620,85,2.217741935483871,25,41,-0.008262774,1
